,Country,EdLevel,YearsCodePro,Salary
808,Italy,Less than a Bachelors degree,6.0,27025.0
809,Canada,Bachelor’s degree,1.0,49160.0
810,United States of America,Bachelor’s degree,3.0,64000.0
813,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,50411.0
814,Germany,Master’s degree,4.0,54049.0
817,United States of America,Post graduation,7.0,135000.0
821,France,Master’s degree,4.0,46482.0
824,Brazil,Bachelor’s degree,4.0,17868.0
828,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,74970.0
833,Canada,Bachelor’s degree,3.0,52942.0
839,United States of America,Bachelor’s degree,3.0,85000.0
845,India,Bachelor’s degree,1.0,20943.0
846,United States of America,Bachelor’s degree,15.0,120000.0
847,Brazil,Less than a Bachelors degree,15.0,41232.0
848,United States of America,Master’s degree,11.0,155000.0
851,Germany,Bachelor’s degree,2.0,54049.0
852,Netherlands,Post graduation,24.0,57720.0
856,Germany,Less than a Bachelors degree,7.0,54480.0
859,France,Master’s degree,6.0,34584.0
863,Germany,Bachelor’s degree,11.0,51887.0
870,India,Master’s degree,2.0,10728.0
873,Italy,Less than a Bachelors degree,21.0,81074.0
874,United States of America,Bachelor’s degree,5.0,115000.0
875,Canada,Bachelor’s degree,5.0,55211.0
886,United States of America,Bachelor’s degree,10.0,200000.0
888,United States of America,Bachelor’s degree,10.0,142000.0
889,United States of America,Less than a Bachelors degree,8.0,125000.0
890,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,84019.0
894,Germany,Master’s degree,5.0,31128.0
897,Germany,Master’s degree,0.5,51888.0
906,India,Bachelor’s degree,5.0,16475.0
907,Germany,Bachelor’s degree,2.0,41040.0
909,United States of America,Master’s degree,12.0,175000.0
911,India,Master’s degree,7.0,18848.0
912,Germany,Master’s degree,6.0,84312.0
913,Germany,Master’s degree,7.0,81074.0
914,Germany,Master’s degree,10.0,68102.0
918,United States of America,Bachelor’s degree,12.0,126000.0
928,Netherlands,Bachelor’s degree,2.0,35676.0
935,India,Bachelor’s degree,7.0,21641.0
942,United States of America,Less than a Bachelors degree,18.0,175000.0
947,United States of America,Bachelor’s degree,9.0,190000.0
950,France,Master’s degree,3.0,81074.0
952,Netherlands,Bachelor’s degree,4.0,38916.0
953,United States of America,Bachelor’s degree,37.0,220000.0
955,France,Master’s degree,2.0,45401.0
956,India,Master’s degree,6.0,12564.0
963,United States of America,Master’s degree,30.0,153000.0
968,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,51704.0
970,United States of America,Less than a Bachelors degree,4.0,75000.0
971,India,Bachelor’s degree,2.0,11169.0
974,India,Bachelor’s degree,4.0,30716.0
975,Germany,Bachelor’s degree,25.0,81074.0
981,United States of America,Less than a Bachelors degree,20.0,215000.0
984,India,Post graduation,10.0,13962.0
989,France,Master’s degree,4.0,48644.0
992,Netherlands,Master’s degree,3.0,51888.0
996,India,Master’s degree,6.0,64224.0
997,Germany,Bachelor’s degree,12.0,56211.0
1000,Canada,Master’s degree,15.0,75631.0
1003,Italy,Less than a Bachelors degree,6.0,55130.0
1005,France,Master’s degree,3.0,37834.0
1008,Canada,Bachelor’s degree,10.0,68068.0
1010,United States of America,Less than a Bachelors degree,10.0,200000.0
1012,Netherlands,Bachelor’s degree,7.0,36972.0
1016,United States of America,Bachelor’s degree,15.0,203000.0
1024,Germany,Less than a Bachelors degree,20.0,79993.0
1028,United States of America,Bachelor’s degree,5.0,100000.0
1029,United States of America,Bachelor’s degree,5.0,80325.0
1034,Spain,Less than a Bachelors degree,20.0,58373.0
1036,Germany,Bachelor’s degree,13.0,18984.0
1037,Germany,Bachelor’s degree,23.0,64859.0
1039,United States of America,Bachelor’s degree,3.0,82750.0
1042,Netherlands,Less than a Bachelors degree,1.0,23352.0
1043,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,5.0,71093.0
1047,Germany,Master’s degree,7.0,88208.0
1048,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,46533.0
1049,Netherlands,Bachelor’s degree,11.0,59544.0
